Edge,Average Utilization
"SEQSUINET, Rice University, Houston-SURANET, Georgia Tech, Atlanta",2.6
"SEQSUINET, Rice University, Houston-NCSA, University of Illinois, Champaign",5.1
"SEQSUINET, Rice University, Houston-San Diego Supercomputer Center",5.0
"Jon Von Neumann Center, Princeton, NJ-SURANET, Georgia Tech, Atlanta",2.9
"Jon Von Neumann Center, Princeton, NJ-Cornell Theory Center, Ithaca NY",2.2
"Pittsburgh Supercomputer Center-Merit Univ of Michigan, Ann Arbor",1.3
"Cornell Theory Center, Ithaca NY-Merit Univ of Michigan, Ann Arbor",4.4
"NorthWestNet, Seattle-NCAR, Boulder",7.1
"NorthWestNet, Seattle-BARRnet, Palo Alto",6.2
"BARRnet, Palo Alto-Merit Univ of Michigan, Ann Arbor",4.9
"BARRnet, Palo Alto-San Diego Supercomputer Center",5.3
"Westnet, Salt Lake City-NCAR, Boulder",1.8
"NCAR, Boulder-NCSA, University of Illinois, Champaign",5.8
"MIDnet, Lincoln, NE-NCSA, University of Illinois, Champaign",0.0
"NCSA, University of Illinois, Champaign-Merit Univ of Michigan, Ann Arbor",3.2
