time,"SEQSUINET, Rice University, Houston, SURANET, Georgia Tech, Atlanta","SEQSUINET, Rice University, Houston, NCSA, University of Illinois, Champaign","SEQSUINET, Rice University, Houston, San Diego Supercomputer Center","Jon Von Neumann Center, Princeton, NJ, SURANET, Georgia Tech, Atlanta","Jon Von Neumann Center, Princeton, NJ, Cornell Theory Center, Ithaca NY","Pittsburgh Supercomputer Center, Merit Univ of Michigan, Ann Arbor","Cornell Theory Center, Ithaca NY, Merit Univ of Michigan, Ann Arbor","NorthWestNet, Seattle, NCAR, Boulder","NorthWestNet, Seattle, BARRnet, Palo Alto","BARRnet, Palo Alto, Merit Univ of Michigan, Ann Arbor","BARRnet, Palo Alto, San Diego Supercomputer Center","Westnet, Salt Lake City, NCAR, Boulder","NCAR, Boulder, NCSA, University of Illinois, Champaign","MIDnet, Lincoln, NE, NCSA, University of Illinois, Champaign","NCSA, University of Illinois, Champaign, Merit Univ of Michigan, Ann Arbor"
0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1,0.0,0.1,0.1,0.0,0.2,0.0,0.2,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.2
2,0.1,0.1,0.2,0.1,0.2,0.0,0.2,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.2
3,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.1,0.1,0.1,0.2,0.0,0.1,0.0,0.3
4,0.2,0.2,0.2,0.2,0.3,0.0,0.3,0.2,0.2,0.1,0.3,0.0,0.2,0.0,0.4
5,0.3,0.2,0.3,0.3,0.3,0.0,0.3,0.2,0.2,0.1,0.3,0.0,0.2,0.0,0.4
6,0.3,0.2,0.3,0.3,0.4,0.0,0.4,0.2,0.2,0.2,0.4,0.0,0.2,0.0,0.4
7,0.3,0.2,0.3,0.3,0.5,0.0,0.5,0.3,0.3,0.2,0.5,0.0,0.3,0.0,0.5
8,0.4,0.3,0.3,0.4,0.5,0.0,0.5,0.3,0.3,0.3,0.6,0.0,0.3,0.0,0.6
9,0.5,0.3,0.4,0.5,0.5,0.0,0.5,0.3,0.3,0.3,0.6,0.0,0.3,0.0,0.6
10,0.5,0.4,0.5,0.5,0.6,0.0,0.6,0.3,0.3,0.3,0.6,0.0,0.3,0.0,0.7
11,0.5,0.5,0.6,0.5,0.7,0.0,0.7,0.3,0.3,0.3,0.6,0.0,0.3,0.0,0.8
12,0.6,0.5,0.7,0.6,0.7,0.0,0.7,0.3,0.3,0.3,0.6,0.0,0.3,0.0,0.8
13,0.6,0.5,0.7,0.6,0.7,0.0,0.7,0.3,0.3,0.3,0.6,0.0,0.3,0.0,0.8
14,0.7,0.6,0.7,0.7,0.7,0.0,0.7,0.4,0.4,0.3,0.7,0.0,0.4,0.0,0.8
15,0.7,0.6,0.7,0.7,0.6,0.0,0.6,0.3,0.3,0.3,0.6,0.0,0.3,0.0,0.7
16,0.7,0.6,0.7,0.7,0.6,0.0,0.6,0.3,0.3,0.3,0.6,0.0,0.3,0.0,0.7
17,0.7,0.6,0.7,0.7,0.5,0.0,0.5,0.3,0.3,0.2,0.5,0.0,0.3,0.0,0.7
18,0.7,0.6,0.7,0.7,0.5,0.0,0.5,0.3,0.3,0.2,0.5,0.0,0.3,0.0,0.7
19,0.7,0.6,0.7,0.7,0.5,0.0,0.5,0.2,0.2,0.3,0.5,0.0,0.2,0.0,0.6
20,0.7,0.6,0.7,0.7,0.5,0.0,0.5,0.3,0.3,0.4,0.5,0.0,0.3,0.0,0.5
21,0.6,0.5,0.5,0.6,0.4,0.0,0.4,0.4,0.4,0.3,0.5,0.0,0.4,0.0,0.3
22,0.7,0.6,0.5,0.7,0.4,0.0,0.4,0.5,0.5,0.3,0.6,0.0,0.5,0.0,0.3
23,0.7,0.6,0.5,0.7,0.4,0.0,0.4,0.4,0.4,0.4,0.6,0.0,0.4,0.0,0.2
24,0.7,0.6,0.5,0.7,0.5,0.0,0.5,0.4,0.4,0.5,0.7,0.0,0.4,0.0,0.2
25,0.6,0.7,0.5,0.6,0.6,0.0,0.6,0.5,0.5,0.6,0.7,0.0,0.5,0.0,0.2
26,0.5,0.7,0.6,0.5,0.7,0.0,0.7,0.6,0.6,0.6,0.6,0.0,0.6,0.0,0.1
27,0.6,0.7,0.7,0.6,0.7,0.0,0.7,0.6,0.6,0.6,0.6,0.0,0.6,0.0,0.1
28,0.5,0.7,0.6,0.5,0.7,0.0,0.7,0.6,0.6,0.6,0.6,0.0,0.6,0.0,0.1
29,0.5,0.7,0.6,0.5,0.7,0.0,0.7,0.6,0.6,0.6,0.6,0.0,0.6,0.0,0.1
30,0.5,0.7,0.6,0.5,0.7,0.0,0.7,0.6,0.6,0.6,0.6,0.0,0.6,0.0,0.1
31,0.5,0.7,0.6,0.5,0.7,0.0,0.7,0.6,0.6,0.6,0.6,0.0,0.6,0.0,0.1
32,0.5,0.6,0.7,0.5,0.7,0.0,0.7,0.5,0.5,0.6,0.5,0.0,0.5,0.0,0.1
