time,"SEQSUINET, Rice University, Houston, SURANET, Georgia Tech, Atlanta","SEQSUINET, Rice University, Houston, NCSA, University of Illinois, Champaign","SEQSUINET, Rice University, Houston, San Diego Supercomputer Center","Jon Von Neumann Center, Princeton, NJ, SURANET, Georgia Tech, Atlanta","Jon Von Neumann Center, Princeton, NJ, Cornell Theory Center, Ithaca NY","Pittsburgh Supercomputer Center, Merit Univ of Michigan, Ann Arbor","Cornell Theory Center, Ithaca NY, Merit Univ of Michigan, Ann Arbor","NorthWestNet, Seattle, NCAR, Boulder","NorthWestNet, Seattle, BARRnet, Palo Alto","BARRnet, Palo Alto, Merit Univ of Michigan, Ann Arbor","BARRnet, Palo Alto, San Diego Supercomputer Center","Westnet, Salt Lake City, NCAR, Boulder","NCAR, Boulder, NCSA, University of Illinois, Champaign","MIDnet, Lincoln, NE, NCSA, University of Illinois, Champaign","NCSA, University of Illinois, Champaign, Merit Univ of Michigan, Ann Arbor"
0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0
1,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.2,0.2,0.1,0.1,0.0,0.2,0.0,0.0
2,0.1,0.3,0.2,0.1,0.2,0.0,0.2,0.3,0.3,0.2,0.1,0.0,0.3,0.0,0.0
3,0.1,0.4,0.3,0.1,0.3,0.0,0.3,0.4,0.4,0.3,0.1,0.0,0.4,0.0,0.0
4,0.1,0.5,0.4,0.1,0.4,0.0,0.4,0.5,0.5,0.4,0.1,0.0,0.5,0.0,0.0
5,0.1,0.6,0.5,0.1,0.5,0.0,0.5,0.6,0.6,0.5,0.1,0.0,0.6,0.0,0.0
6,0.1,0.7,0.6,0.1,0.6,0.0,0.6,0.7,0.7,0.6,0.1,0.0,0.7,0.0,0.0
7,0.1,0.8,0.7,0.1,0.7,0.0,0.7,0.8,0.8,0.7,0.1,0.0,0.8,0.0,0.0
8,0.1,0.9,0.8,0.1,0.8,0.0,0.8,0.9,0.9,0.8,0.1,0.0,0.9,0.0,0.0
9,0.1,0.9,0.8,0.1,0.9,0.0,0.9,1.0,1.0,0.8,0.2,0.0,1.0,0.0,0.1
10,0.2,0.9,0.9,0.2,0.9,0.0,0.9,1.0,1.0,0.8,0.2,0.0,1.0,0.0,0.1
11,0.2,0.9,0.9,0.2,0.9,0.0,0.9,1.0,1.0,0.8,0.2,0.0,1.0,0.0,0.1
12,0.2,0.9,0.9,0.2,0.9,0.0,0.9,1.0,1.0,0.8,0.2,0.0,1.0,0.0,0.1
13,0.2,0.9,0.9,0.2,0.9,0.0,0.9,1.0,1.0,0.8,0.2,0.0,1.0,0.0,0.1
14,0.2,0.9,0.9,0.2,0.9,0.0,0.9,1.0,1.0,0.8,0.2,0.0,1.0,0.0,0.1
15,0.1,0.8,0.9,0.1,1.0,0.0,1.0,1.0,1.0,0.8,0.2,0.0,1.0,0.0,0.2
16,0.2,0.7,0.9,0.2,0.9,0.0,0.9,0.9,0.9,0.7,0.2,0.0,0.9,0.0,0.2
17,0.2,0.6,0.8,0.2,0.8,0.0,0.8,0.7,0.7,0.5,0.2,0.0,0.7,0.0,0.3
18,0.2,0.6,0.8,0.2,0.9,0.0,0.9,0.8,0.8,0.5,0.3,0.0,0.8,0.0,0.4
19,0.2,0.6,0.8,0.2,0.9,0.0,0.9,0.8,0.8,0.5,0.3,0.0,0.8,0.0,0.4
20,0.3,0.5,0.8,0.3,0.8,0.0,0.8,0.7,0.7,0.4,0.3,0.0,0.7,0.0,0.4
21,0.3,0.4,0.7,0.3,0.7,0.0,0.7,0.6,0.6,0.3,0.3,0.0,0.6,0.0,0.4
22,0.3,0.4,0.7,0.3,0.7,0.0,0.7,0.6,0.6,0.3,0.3,0.0,0.6,0.0,0.4
23,0.3,0.5,0.8,0.3,0.8,0.0,0.8,0.7,0.7,0.4,0.3,0.0,0.7,0.0,0.4
24,0.3,0.6,0.9,0.3,0.9,0.0,0.9,0.8,0.8,0.5,0.3,0.0,0.8,0.0,0.4
25,0.2,0.7,0.9,0.2,0.8,0.0,0.8,0.7,0.7,0.6,0.1,0.0,0.7,0.0,0.2
26,0.2,0.7,0.9,0.2,0.9,0.0,0.9,0.8,0.8,0.6,0.2,0.0,0.8,0.0,0.3
27,0.2,0.7,0.9,0.2,1.0,0.0,1.0,0.9,0.9,0.6,0.3,0.0,0.9,0.0,0.4
