time,"SEQSUINET, Rice University, Houston, SURANET, Georgia Tech, Atlanta","SEQSUINET, Rice University, Houston, NCSA, University of Illinois, Champaign","SEQSUINET, Rice University, Houston, San Diego Supercomputer Center","Jon Von Neumann Center, Princeton, NJ, SURANET, Georgia Tech, Atlanta","Jon Von Neumann Center, Princeton, NJ, Cornell Theory Center, Ithaca NY","Pittsburgh Supercomputer Center, Merit Univ of Michigan, Ann Arbor","Cornell Theory Center, Ithaca NY, Merit Univ of Michigan, Ann Arbor","NorthWestNet, Seattle, NCAR, Boulder","NorthWestNet, Seattle, BARRnet, Palo Alto","BARRnet, Palo Alto, Merit Univ of Michigan, Ann Arbor","BARRnet, Palo Alto, San Diego Supercomputer Center","Westnet, Salt Lake City, NCAR, Boulder","NCAR, Boulder, NCSA, University of Illinois, Champaign","MIDnet, Lincoln, NE, NCSA, University of Illinois, Champaign","NCSA, University of Illinois, Champaign, Merit Univ of Michigan, Ann Arbor"
0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0
1,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.2,0.2,0.1,0.1,0.0,0.2,0.0,0.0
2,0.1,0.2,0.1,0.1,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0
3,0.1,0.2,0.1,0.1,0.3,0.0,0.3,0.2,0.2,0.3,0.3,0.0,0.2,0.0,0.0
4,0.2,0.3,0.1,0.2,0.3,0.0,0.3,0.3,0.3,0.3,0.4,0.0,0.3,0.0,0.0
5,0.2,0.4,0.2,0.2,0.4,0.0,0.4,0.3,0.3,0.3,0.4,0.0,0.3,0.0,0.1
6,0.2,0.4,0.2,0.2,0.5,0.0,0.5,0.3,0.3,0.4,0.5,0.0,0.3,0.0,0.1
7,0.3,0.5,0.2,0.3,0.5,0.0,0.5,0.3,0.3,0.5,0.6,0.0,0.3,0.0,0.2
8,0.4,0.6,0.2,0.4,0.5,0.0,0.5,0.4,0.4,0.5,0.7,0.0,0.4,0.0,0.2
9,0.5,0.7,0.2,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.8,0.0,0.5,0.0,0.2
10,0.4,0.6,0.2,0.4,0.6,0.0,0.6,0.4,0.4,0.6,0.8,0.0,0.4,0.0,0.2
11,0.4,0.6,0.2,0.4,0.6,0.0,0.6,0.4,0.4,0.6,0.8,0.0,0.4,0.0,0.2
12,0.4,0.6,0.2,0.4,0.6,0.0,0.6,0.4,0.4,0.6,0.8,0.0,0.4,0.0,0.2
13,0.4,0.6,0.2,0.4,0.6,0.0,0.6,0.4,0.4,0.6,0.8,0.0,0.4,0.0,0.2
14,0.4,0.6,0.2,0.4,0.6,0.0,0.6,0.4,0.4,0.6,0.8,0.0,0.4,0.0,0.2
15,0.3,0.5,0.2,0.3,0.7,0.0,0.7,0.3,0.3,0.7,0.8,0.0,0.3,0.0,0.2
16,0.3,0.5,0.2,0.3,0.7,0.0,0.7,0.3,0.3,0.7,0.8,0.0,0.3,0.0,0.2
17,0.3,0.5,0.2,0.3,0.6,0.0,0.6,0.3,0.3,0.6,0.7,0.0,0.3,0.0,0.2
18,0.4,0.6,0.2,0.4,0.6,0.0,0.6,0.4,0.4,0.6,0.8,0.0,0.4,0.0,0.2
19,0.4,0.5,0.1,0.4,0.6,0.0,0.6,0.3,0.3,0.6,0.9,0.0,0.3,0.0,0.2
20,0.4,0.5,0.1,0.4,0.6,0.0,0.6,0.3,0.3,0.6,0.9,0.0,0.3,0.0,0.2
21,0.3,0.5,0.2,0.3,0.7,0.0,0.7,0.3,0.3,0.7,0.8,0.0,0.3,0.0,0.2
22,0.3,0.4,0.1,0.3,0.7,0.0,0.7,0.3,0.3,0.8,0.9,0.0,0.3,0.0,0.1
23,0.3,0.4,0.1,0.3,0.7,0.0,0.7,0.3,0.3,0.8,0.9,0.0,0.3,0.0,0.1
24,0.3,0.4,0.1,0.3,0.7,0.0,0.7,0.3,0.3,0.8,0.9,0.0,0.3,0.0,0.1
25,0.2,0.4,0.2,0.2,0.8,0.0,0.8,0.4,0.4,0.8,0.8,0.0,0.4,0.0,0.0
26,0.2,0.4,0.2,0.2,0.8,0.0,0.8,0.3,0.3,0.9,0.8,0.0,0.3,0.0,0.1
27,0.2,0.5,0.3,0.2,0.7,0.0,0.7,0.4,0.4,0.8,0.6,0.0,0.4,0.0,0.1
